PARK NAME,ADDRESS
ABORIGINAL,2376 NORTHWAY AVE
AKO,4271 ALICE ST
ALEXANDER PARK,3700 RIVERSIDE DR E
ALTON C PARKER,900 MERCER ST
ASSUMPTION,1902 RIVERSIDE DR W
AVON CT,3901 KENNEDY DR W
AVONDALE PLAYLOT,402 GRAND MARAIS RD W
AYLMER REST STATION,550 RIVERSIDE DR E
BALSAMO,2240 DANDURAND AVE
BELLEWOOD,2600 YOUNGSTOWN ST
BERT WEEKS MEMORIAL FOUNTAIN,900 RIVERSIDE DR E
BRADLEY,3460 CROSS ST
BRIDGE'S BAY,3790 RIVERSIDE DR E
BRIDGEVIEW,1899 GROVE AVE
BROADWAY,599 BROADWAY ST
BROCK,3278 RUSSELL ST
BROOKVIEW,1097 BROOKVIEW CRES
BRUCE,700 BRUCE AVE
BRUMPTON,8890 CEDARVIEW ST
BUSH,9475 ESPLANADE DR
CADILLAC ST,290 DROUILLARD RD
CALDERWOOD,1859 CALDERWOOD AVE
CAPTAIN WILSON,3950 DUCHARME ST
CARON AVE,774 CARON AVE
CARON AVE PUMPING STATION,620 RIVERSIDE DR W
CENTENNIAL,1530 RIVERSIDE DR W
CENTRAL,3301 WOODLAND AVE
CHARLES CLARK SQUARE,215 CHATHAM ST E
CHATHAM ST,62 CHATHAM ST E
CHOPIN,1298 ROSSINI BLVD
CITY HALL SQUARE,350 CITY HALL SQ W
CIVIC GREEN,217 RIVERSIDE DR E
CIVIC TERRACE,200 RIVERSIDE DR E
CLAIRVIEW BIKEWAY,8101 CLAIRVIEW AVE
CLAY,1498 HALL AVE
CLIFFORD AND JOAN HATCH WILDFLOWER GARDEN (GREAT WESTERN),1388 RIVERSIDE DR E
COLETTA,2979 COLETTA CRT
COLLEGE AVE BIKEWAY,3690 COLLEGE AVE
COMPTON COURT,600 COMPTON CRT
CORA GREENWOOD,11824 LITTLE RIVER BLVD
COVENTRY GARDENS (REAUME),4714 RIVERSIDE DR E
CROWLEY,3315 COLLEGE AVE
CURRY PLAYLOT (Curry at Grove - West Windsor),1074 CURRY AVE
CURRY (Curry at Richardie - South Windsor),1400 RICHARDIE BLVD
DAWSON,1003 DAWSON RD
DERWENT,7911 FOREST GLADE DR
DEVONSHIRE,2005 DEVONSHIRE CRT
DEVONSHIRE HEIGHTS,1697 CALDERWOOD AVE
DIEPPE GARDENS,78 RIVERSIDE DR W
DYNASTY,605 DYNASTY ST
EAST END,569 ADELAIDE AVE
EAST RIVERSIDE / BLUE HERON LAKE,11735 MCNORTON ST
EAST RIVERVIEW,8788 RIVERSIDE DR E
ELIZABETH KISHKON PARK,1415 BANWELL RD
ERNEST ATKINSON,2005 RIVERSIDE DR W
ESDRAS,1191 ESDRAS AVE
FACTORIA,1775 FACTORIA RD
FESTIVAL PLAZA,340 RIVERSIDE DR E
FIELD OF DREAMS,1434 CURRY AVE
FIRGROVE BLVDS,9850 FIRGROVE DR
FLORA,430 FLORA AVE
FORD TEST TRACK,3001 SEMINOLE ST
FOREST GLADE OPTIMIST PARK,3265 FOREST GLADE DR
FOUNTAINEBLEU,2960 RIVARD AVE
FRANCOIS,895 FRANCOIS CRT
FRED THOMAS / WINDSOR WATER WORLD,400 WYANDOTTE ST E
GANATCHIO PARK,10554 RIVERSIDE DR E
GANATCHIO TRAIL,400 RIVERDALE AVE
GARWOOD,765 IRVINE AVE
GARY DUGAL,1247 DROUILLARD RD
GEORGE,4085 WYANDOTTE ST E
GIGNAC,705 SHEPHERD ST E
GINO MARCUS,1168 DROUILLARD RD
GIRARDOT,2100 GIRARDOT ST
GOLDENWOOD,4355 GOLDENWOOD DR
GOOSE BAY,4386 RIVERSIDE DR E
GRAND MARAIS DRAIN TRAIL,939 GRAND MARAIS RD E
GROVE,2297 GROVE AVE
HALL FARMS,3030 CONSERVATION DR
HAWTHORNE PARK,2861 LAUZON RD
HERB GRAY NATURE RESERVE,925 LAKE TRAIL DR
HOLBURN,4211 MARLO CRES
HOMESITE,998 VILLAIRE AVE
HOWARD,2910 HOWARD AVE
HURON CHURCH GREENBELT,1015 HURON CHURCH RD
JACKSON,125 TECUMSEH RD E
JENNIFER,2935 JENNIFER DR
JOINT JUSTICE,218 CHATHAM ST E
KENILWORTH,3466 WHITESIDE DR
KENNEDY SQUARE,1250 HOWARD AVE
KIDS ALLIANCE PARK,1075 UNIVERSITY AVE E
KINSMEN,735 CHATHAM ST E
KIWANIS,7689 RIVERSIDE DR E
KOMINAR,4650 ALPENROSE AVE
LABADIE,1386 LABADIE RD
LAKE COMO,4500 SOUTHWOOD LAKES BLVD
LAKE GRANDE,5014 SOUTHWOOD LAKES BLVD
LAKE LAGUNA,5001 SOUTHWOOD LAKES BLVD
LAKE TRAIL,846 LAKE TRAIL DR
LAKEVIEW PARK MARINA,9200 RIVERSIDE DR E
LANGLOIS CT,2730 PARENT AVE
LANSPEARY,1250 LANGLOIS AVE
LEAFIELD,3083 CONSERVATION DR
LENS AVE GREENBELT,758 LENS AVE
LITTLE RIVER ACRES,8575 LITTLE RIVER RD
LITTLE RIVER BLVD,9903 LITTLE RIVER BLVD
LITTLE RIVER BLVD / MORNINGSTAR,10741 LITTLE RIVER BLVD
LITTLE RIVER CORRIDOR,1418 FLORENCE AVE
MACKENZIE HALL,3261 SANDWICH ST
MAGNOLIA,1703 MAGNOLIA AVE
MALDEN,4200 MALDEN RD
MAPLE LEAF,3974 MAPLE LEAF CRES
MARGURIET,2665 MARGURIET ST
MARK,3125 MARK AVE
MARTINIQUE,536 MARTINIQUE AVE
MATCHETTE,3675 MATCHETTE RD
MATTHEW RODZIK,545 RODFAM DR
MAURICE BELANGER,3980 MALDEN RD
MAYFAIR,2539 CHANDLER RD
MCDONALD,3971 YPRES AVE
MCHUGH,9655 MCHUGH ST
MCKEE,3036 SANDWICH ST
MEADOWBROOK,2851 MEADOWBROOK LANE
MIC MAC,3939 CARMICHAEL RD
MILL,3176 RUSSELL ST
MITCHELL,399 GILES BLVD W
NORMAN (KINSMEN COMMUNITY CENTRE PLAYGROUND),1730 OLIVE RD
NORTH MERRITT,953 MERRITT DR
NORTH TALBOT,1299 HIGHNOON DR
NORTH TILSTON,1235 TILSTON DR
OAK / ELM,1250 ELM AVE
OAKWOOD,2401 PULFORD ST
OJIBWAY / TOM JOY WOODS,5200 MATCHETTE RD
OJIBWAY PARKWAY TRAIL,4900 OJIBWAY PKY
OPTIMIST MEMORIAL,1075 YPRES AVE
PALMETTO,11518 PALMETTO ST
PARENT,2286 PARENT AVE
PARKWOOD WOODLOT,30175 TEMPLE DR
PARTINGTON,2725 PARTINGTON AVE
PATERSON,3063 SANDWICH ST
PATRICK MAGUIRE,3782 HOLBURN ST
PECHE ISLAND,0 PECHE ISLAND ISLE
PECHE ISLAND LANDING,8734 RIVERSIDE DR E
PIAZZA UDINE (or VIALA UDINE),10 RIVERSIDE DR E
POLONIA,4923 MILLOY ST
PYKES,5497 LASSALINE AVE
RADISSON BIKEWAY,2985 BRUCE AVE
REALTOR,1198 HOMEDALE BLVD
REAUME OVERFLOW PARKING,2454 PILLETTE RD
REMINGTON PARK,2710 LILLIAN AVE
RIVERDALE,1069 RIVERDALE AVE
RIVERSIDE BASEBALL / FORMERLY ST ROSE,6755 WYANDOTTE ST E
RIVERSIDE KIWANIS,9420 LITTLE RIVER RD
ROBERT,2747 ROBERT RD
ROSELAND,870 MORAND ST
ROSEVILLE,6405 ROSEVILLE GARDEN DR
SANDPOINT BEACH,10300 RIVERSIDE DR E
SENATOR CROLL,320 GOYEAU ST
SENECA,3515 WILDWOOD DR
SEVEN SISTERS,3098 FAZIO DR
SHANFIELD SHORES,9640 RIVERSIDE DR E
SHAWNEE,5099 COLBOURNE DR
SHINGLECREEK,3699 SHINGLECREEK CRT
SOUTH CAMERON WOODLOT,1761 KENORA ST
SOUTH MERRITT,1038 MERRITT DR
SOUTH RENDEZVOUS,11997 RIVERSIDE DR E
SOUTH TILSTON,1346 TILSTON DR
SOUTHDALE,1644 SOUTHDALE DR
SPRING GARDEN ANSI,2313 LAMBTON ST
SPRINGHOLLOW,2579 LUXURY AVE
ST PAUL GROVE,1020 ST PAUL AVE
ST PAUL PUMPING STATION,7730 RIVERSIDE DR E
ST ROSE BEACH,6902 RIVERSIDE DR E
STILLMEADOW,2940 STILLMEADOW RD
STODGELL,1650 SENECA ST
STONEYBROOK,1059 NORTH TALBOT RD
STOP 26,10610 RIVERSIDE DR E
STRAITH,1751 RIVERSIDE DR W
SUPERIOR,1700 TOTTEN ST
TALL GRASS PRAIRIE HERITAGE,1380 TITCOMBE RD
TEEDIE,2740 LAUZON RD
THOMPSON,5410 EDGAR ST
THURSTON,2763 RIVARD AVE
TRANBY,6899 TRANBY AVE
TWIN OAKS,7798 TWIN OAKS DR
UDINE,2891 BYNG RD
UNITY,1204 CENTRAL AVE
VETERANS' MEMORIAL,1120 COUSINEAU RD
VIRGINIA,2197 SOUTH CAMERON BLVD
VISION CORRIDOR,421 RIVERSIDE DR W
WALKER HOMESITE BIKEPATH,1723 SEYMOUR BLVD
WALKER HOMESITES,1900 SEYMOUR BLVD
WALKERVILLE JUBILEE,611 KILDARE RD
WELLINGTON,352 WELLINGTON AVE
WESTCOTT,3698 ALICE ST
WFCU CENTRE,8787 MCHUGH ST
WHELPTON,2771 WHELPTON ST
WIGLE,397 ERIE ST E
WILDWOOD,3950 WILDWOOD DR
WILLISTEAD,1889 NIAGARA ST
WILSON,700 MCEWAN AVE
WINDSOR ARENA,572 MCDOUGALL ST
WOLFE LAKE,4823 SOUTHWOOD LAKES BLVD
YPRES,4500 SOMME AVE
